Rank,State_Short,total_pounds,total_items,avg_lbs_per_cleanup,avg_lbs_per_person,num_events,Priority_Score
1,California,497424.582,3150991.0,57.51903122109158,7.186286188413752,8648,0.704
2,Florida,501141.452,3116795.0,47.04228405144091,6.242748528924373,10653,0.7025
3,North Dakota,2430.0,1.0,2430.0,10.041322314049587,1,0.3019
4,New York,151293.913636364,1038552.0,133.8884191472248,7.394042832699425,1130,0.2361
5,Georgia,176660.95,152825.0,545.2498456790124,27.226325488717436,324,0.2228
6,Massachusetts,75918.67,1502783.0,129.55404436860067,8.757140772505132,586,0.2196
7,Pennsylvania,184078.4,249549.0,349.95893536121673,17.698603890108352,526,0.2138
8,Texas,175058.633738,420586.0,190.69567945315904,13.562269036605494,918,0.2032
9,Oregon,194376.252727273,190602.0,215.73390979719534,13.63892651815523,901,0.1998
10,Ohio,110380.22,543116.0,227.11979423868314,19.92257799412959,486,0.1678
11,Connecticut,53871.16,1127833.0,135.69561712846348,10.273383478779852,397,0.167
12,Virginia,121745.52,431781.0,121.62389610389612,8.069007506917506,1001,0.1532
13,Alabama,74805.25,259329.0,389.6106770833333,8.569283528693688,192,0.1324
14,North Carolina,95880.75,352238.0,54.29261041902605,5.20413597058948,1766,0.1167
15,Rhode Island,55588.56,561185.0,112.75569979716023,7.879478209794872,493,0.1116
16,South Carolina,64081.68,317625.0,55.77169712793734,5.207905381967089,1149,0.0882
17,Maryland,57071.3,278301.0,129.12058823529412,41.41284305769753,442,0.0879
18,Hawaii,54121.68,350040.0,76.98674253200569,8.63756991022961,703,0.0859
19,New Jersey,49577.82,314308.0,112.67686363636363,6.9798284524908185,440,0.0833
20,Illinois,20683.01,567037.0,45.86033259423503,3.8724365963656533,451,0.0761
